Redshift,ZERR
0.00100147,3.687552e-05
0.001004755,5.49275e-06
0.001008891,0.0004215139
0.001012201,0.0008617971
0.001016061,1.269727e-05
0.001022319,1.557106
0.001026285,1.216106e-05
0.001026545,0.6592627
0.001029848,1.19135
0.001032104,2.608121e-05
0.001034165,1.171654e-05
0.001035101,0.04497555
0.001035823,0.1422413
0.001036206,0.0001275157
0.001037845,0.008741098
0.001038725,0.05647505
0.001038808,1.858483e-05
0.001038836,1.170718e-05
0.001043082,0.4058291
0.001047168,1.679987e-05
0.001054784,7.717801e-05
0.001072822,1.329406e-05
0.001084286,7.7038e-05
0.001093942,1.036193e-05
0.00110325,2.352132e-05
0.001106286,1.128798e-05
0.001120024,3.172494e-05
0.00112016,8.960998e-06
0.001125895,2.014618e-05
0.001130472,1.399913e-05
0.001161389,0.0001414981
0.00116146,1.181034e-05
0.001172486,0.0001377804
0.001176372,2.992414e-05
0.001188643,0.0002046103
0.001197032,3.149333e-05
0.001206173,0.0001037117
0.001232125,1.396929e-05
0.001250387,2.591153e-05
0.00125148,2.843176e-05
0.001253873,0.6892623
0.001255676,2.062183e-05
0.00125982,0.4309477
0.001261738,0.3961051
0.001264066,2.25544e-05
0.001267334,0.0004691345
0.001271684,0.09525766
0.001272618,0.4739312
0.001276533,0.0001917586
0.001280837,1.809667e-05
0.001305966,0.0001784588
0.001341067,9.449288e-06
0.001341857,0.0001735684
0.001359165,1.148955e-05
0.001387349,0.0002055933
0.001446462,0.0001552493
0.001480935,0.0001911276
0.001492093,2.19225e-05
0.001493078,2.166166e-05
0.001504674,0.5909206
0.001510554,1.666221e-05
0.00158706,0.0001733079
0.001610761,0.0001176718
0.001616811,2.067999e-05
0.001628966,0.0001700009
0.0016441,7.52242e-05
0.001647058,4.106657e-05
0.001718066,1.26372
0.001719655,0.1543411
0.001722613,0.02972665
0.001730025,0.1405167
0.001731378,0.3426902
0.00173141,0.5220343
0.00173448,0.5659939
0.001735879,0.4279899
0.00175864,2.154132
0.001767937,3.982435
0.001945031,1.742325
0.001954284,2.213419e-05
0.001956311,0.1489393
0.001956754,0.06606809
0.001962423,0.3738114
0.001965067,1.916071
0.001965715,0.3254545
0.001968001,1.274324e-05
0.001968412,0.6698971
0.001968832,1.86922e-05
0.001974545,2.308933e-05
0.001978788,2.251361e-05
0.001984832,9.699371e-05
0.002042391,0.0001247465
0.002089189,0.0003169909
0.002173312,2.464639
0.002181771,0.7573704
0.002185856,0.2047168
0.002187968,1.815839e-05
0.002189152,2.324849e-05
0.002189182,0.03090028
0.002193434,1.28351e-05
0.002193678,0.4216488
0.00219517,0.1684474
0.002198449,1.373549
0.002202871,0.6211019
0.002207112,0.4137993
0.002231527,0.0001968409
0.002260839,6.262198e-05
0.002266125,0.0001116547
0.002269636,0.0002497533
0.002344718,0.0001086903
0.002357148,1.994603e-05
0.002407252,1.936687
0.002411327,2.077215e-05
0.00241226,9.021614e-06
0.002414869,1.066666
0.002420252,0.004761361
0.002424508,0.05794056
0.002428204,0.0002642553
0.002466027,6.749343e-05
0.002510138,0.0001998632
0.002538339,9.222865e-05
0.002547028,3.070266e-05
0.002600801,2.249901e-05
0.002639147,0.5214238
0.002640493,2.732365e-05
0.002641693,2.740549e-05
0.002641966,0.9563293
0.002642703,0.1036888
0.002643008,2.008856e-05
0.002643639,2.090378e-05
0.002647296,1.518606e-05
0.002648072,0.1032465
0.002649973,1.412451e-05
0.002653597,0.1076529
0.002658404,0.7014807
0.002663044,3.111494
0.002665533,0.4552973
0.002666388,1.872621
0.002667262,0.0001963652
0.002675286,0.0001426496
0.002735355,8.460614e-05
0.002765913,0.0001264429
0.002826413,0.000197662
0.002868396,2.545168
0.002870872,2.627607
0.002879669,0.03408447
0.002879767,3.58828
0.002882885,2.416811e-05
0.002885318,2.079278e-05
0.002888008,0.3460939
0.002888815,1.528399e-05
0.00291162,0.0002527869
0.002961944,0.0001054743
0.002992013,0.0002576886
0.003076426,0.0002403405
0.003093706,0.6108196
0.003097237,2.987722e-05
0.003100516,1.110349e-05
0.003103947,0.1708825
0.003104982,1.105517
0.003106225,0.3257082
0.003110783,1.965647e-05
0.003113563,1.948133e-05
0.003113995,2.403685e-05
0.003117629,1.405476e-05
0.003118012,0.6079898
0.003121103,0.08663318
0.003121696,0.0002039988
0.003121957,2.092387e-05
0.003122816,1.360376e-05
0.003125331,0.000360464
0.003137935,0.564629
0.003161295,0.0003371679
0.003202408,0.0002684518
0.003321892,2.31458
0.003335354,1.603711e-05
0.003335372,1.281292
0.003337338,0.2261161
0.0033399,0.0001554017
0.003341581,0.05777407
0.003343098,0.06787382
0.003343237,0.01653189
0.003344549,0.000521368
0.003347597,1.516789e-05
0.003352313,0.4742199
0.003355515,0.1980209
0.003380142,0.0002706259
0.003413185,0.0004152977
0.003427975,0.0001271618
0.003436835,0.0001506373
0.00348875,0.0001039835
0.003500867,0.0004430078
0.003503377,0.0002087753
0.0035319,0.0001881387
0.003560579,2.37154e-05
0.003563037,0.0001537272
0.003563716,2.2094
0.003569488,0.000136646
0.003577753,0.1033938
0.003581025,1.415183e-05
0.003597781,0.0002444916
0.003623311,0.0002990651
0.003628163,0.0001357145
0.003669325,2.828922e-05
0.003684761,0.0001225268
0.003730127,0.0001466806
0.003757945,0.0001188315
0.003769477,1.081996e-05
0.003794915,0.0001777995
0.003798129,1.807819e-05
0.003803842,0.01693978
0.003804048,0.1621386
0.003807761,3.236856e-05
0.003808072,0.008138557
0.003813846,0.3720863
0.003815617,2.819377e-05
0.003816161,0.1015478
0.003818966,0.6104856
0.003819143,3.29116e-05
0.003831977,6.157887e-06
0.003835438,3.00693e-05
0.003836132,1.217359
0.003908298,0.0002292115
0.003921824,0.0001048923
0.00395218,7.012136e-05
0.003967362,5.566519e-06
0.003975112,3.487973e-05
0.004022316,3.138964
0.004030681,2.542941e-05
0.004032246,0.04234108
0.004033831,0.8947299
0.004034495,0.2291095
0.004034564,0.04348
0.004034777,0.06511837
0.004034963,0.05385933
0.004035152,2.094516e-05
0.004035234,0.1262094
0.004035304,1.458611e-05
0.004035926,0.06363118
0.004036205,1.671313e-05
0.004036303,0.06791219
0.004036326,0.05856522
0.004036367,0.2157323
0.004036429,0.1383204
0.004036638,0.1631086
0.004036942,0.02835187
0.004037004,0.02123349
0.004037146,0.0145993
0.004037507,0.003984953
0.004037552,0.01665604
0.004052668,1.264423e-05
0.00411923,0.0003030715
0.004455347,0.0003690608
0.004874909,6.824768e-06
0.004887037,0.0001873989
0.005237309,6.058154e-05
0.005296037,0.000115335
0.005523011,7.184455e-06
0.005532828,1.248462e-05
0.005607496,1.974439e-05
0.005878641,0.000197213
0.00599629,5.884638e-06
0.005996648,1.033784e-05
0.006143054,4.067351
0.006175234,0.0002060938
0.006274696,5.062011e-06
0.00640581,6.939795e-05
0.006504022,0.0002875865
0.006535338,4.687614e-06
0.006631718,5.880657e-06
0.006642339,7.62036e-06
0.006759195,1.73588e-05
0.007370884,6.544838e-06
0.007607409,8.70634e-06
0.007668398,4.308577e-05
0.007792966,1.55688e-05
0.007813029,1.651401e-05
0.007834755,2.361815e-05
0.007921532,6.278312e-06
0.007974997,0.02681105
0.007987162,4.567384e-06
0.008014187,0.0002292636
0.008146062,3.836256e-05
0.008159203,2.04616e-05
0.008364986,6.417351e-06
0.008371536,0.0001254785
0.008397252,1.027216e-05
0.008420044,6.138548e-06
0.008600923,1.086631e-05
0.0087929,0.0001167024
0.008915436,5.37587e-06
0.008958312,8.38014e-05
0.009040033,1.279863e-05
0.009128717,0.04806811
0.009424897,1.758824e-05
0.00955948,1.578715e-05
0.009604307,4.654074e-05
0.009748915,2.72242e-05
0.009979887,2.271206e-05
0.009986921,1.955713e-05
0.01006595,0.08372924
0.01029589,6.893247e-05
0.01035979,1.709364e-05
0.01041013,0.0004616998
0.01044183,0.0002564803
0.01054155,1.125274e-05
0.01062913,9.755973e-06
0.01105352,0.0002853017
0.01113146,4.013963e-05
0.01146361,5.561109e-05
0.01150628,1.02039e-05
0.011662,6.954769e-06
0.01172345,9.597647e-06
0.01174314,0.0002800546
0.01180152,1.766495e-05
0.01192656,0.2244551
0.0124453,1.781367e-05
0.0125711,0.0001396327
0.01264721,1.19464
0.01272408,0.0003757956
0.01282975,1.224674e-05
0.01285981,0.01532343
0.01314445,7.716933e-06
0.01337418,9.311517e-06
